datetime,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20
2022-01-01 15:00:00,35.2,13.8,62.8,31.3,4.6,63.4,10.7,2.0,4.9,1.95,3.8,1.942,2.3,2.6,2.0,4.6,7.0,5.472,2.372,2.2
2022-01-01 16:00:00,36.1,14.6,64.5,33.1,4.1,66.5,11.2,1.7,5.7,2.084,3.9,2.442,2.1,2.5,2.5,4.5,7.5,5.732,2.626,2.0
2022-01-01 17:00:00,43.4,17.7,76.9,52.0,5.2,82.7,15.5,2.6,8.3,2.724,6.0,3.268,2.4,2.6,3.0,6.3,8.9,6.428,2.69,2.7
2022-01-01 18:00:00,46.1,22.0,78.0,60.1,6.3,90.9,18.4,2.9,8.2,3.049,7.5,3.504,3.4,3.6,3.0,6.4,10.5,7.024,3.196,3.4
2022-01-01 19:00:00,48.5,23.5,79.5,62.4,5.7,97.4,19.9,3.1,9.3,3.353,7.9,3.52,2.6,3.9,2.9,6.9,11.3,8.608,3.828,3.0
2022-01-01 20:00:00,59.6,30.4,93.0,55.4,7.1,116.1,23.4,3.8,9.9,3.793,8.7,5.152,3.6,5.6,3.5,8.5,12.4,10.212,4.202,3.5
2022-01-01 21:00:00,71.5,39.1,116.6,80.2,10.6,154.6,33.4,4.8,13.8,5.3,11.6,6.488,4.3,6.1,4.5,10.4,17.4,14.048,5.594,4.0
2022-01-01 22:00:00,71.6,45.4,126.0,81.0,12.0,163.4,35.8,4.6,16.0,7.07,15.0,8.412,5.4,8.1,4.7,9.7,18.9,14.564,7.244,4.8
2022-01-01 23:00:00,64.0,37.9,106.5,96.1,7.7,127.0,26.6,3.8,12.7,6.12,13.5,7.364,4.9,6.6,4.2,8.7,16.0,11.072,4.72,3.5
2022-01-02 00:00:00,38.9,21.1,71.0,56.6,4.4,71.3,16.0,1.8,6.9,3.187,8.8,3.908,3.2,2.7,2.3,5.8,9.5,6.384,2.492,2.7
2022-01-02 01:00:00,25.4,9.3,41.9,25.8,3.1,37.5,6.5,0.8,2.6,1.514,3.4,1.224,1.4,1.2,1.2,3.0,5.0,2.902,1.362,1.1
2022-01-02 02:00:00,16.3,4.4,31.7,16.6,2.0,24.1,3.0,0.4,1.3,0.912,1.6,0.832,1.3,0.4,0.6,1.8,2.9,2.269,0.677,0.9
2022-01-02 03:00:00,12.2,3.8,26.7,14.3,1.6,18.7,2.7,0.4,1.3,0.185,1.9,0.525,0.3,0.3,0.7,1.2,2.3,1.055,0.568,0.5
2022-01-02 04:00:00,12.4,3.5,25.6,13.1,1.2,16.0,2.0,0.2,1.2,0.354,0.9,0.215,0.3,0.2,0.6,0.7,1.4,0.677,0.284,0.2
2022-01-02 05:00:00,16.1,3.5,26.7,13.9,1.5,17.7,1.9,0.5,1.0,0.151,1.0,0.223,0.2,0.2,0.8,0.9,1.7,0.891,0.483,0.1
2022-01-02 06:00:00,20.1,4.8,34.2,18.0,2.9,28.3,4.0,0.7,2.1,0.544,1.8,1.231,1.0,0.5,1.4,1.6,2.5,1.572,0.811,1.4
2022-01-02 07:00:00,36.2,15.9,55.2,40.4,4.5,67.2,11.0,1.7,6.5,1.897,4.1,2.476,1.6,1.7,1.9,3.6,6.8,4.244,2.12,2.2
2022-01-02 08:00:00,52.8,26.9,87.3,62.1,7.6,110.2,21.4,4.1,10.7,3.847,7.9,5.004,2.4,3.8,3.4,7.1,11.7,7.604,4.368,3.6
2022-01-02 09:00:00,62.6,29.0,102.1,71.6,10.8,133.6,26.9,3.9,12.3,4.939,9.5,5.438,3.4,5.0,3.9,7.4,13.6,10.32,5.496,5.0
2022-01-02 10:00:00,61.8,29.1,101.5,68.0,9.9,129.2,26.5,4.0,12.0,4.704,10.5,5.398,4.5,4.5,3.8,8.8,14.9,10.128,5.04,4.8
2022-01-02 11:00:00,59.0,29.3,98.4,63.3,9.6,120.2,23.7,3.6,10.5,5.21,9.4,4.996,4.5,4.3,3.3,8.5,14.6,9.584,4.392,4.1
2022-01-02 12:00:00,52.8,25.6,89.0,57.3,7.7,105.5,22.0,3.6,9.3,4.497,9.7,5.832,3.8,4.0,3.3,6.9,11.8,7.752,4.656,3.3
2022-01-02 13:00:00,47.4,20.4,79.1,47.4,6.4,94.8,19.1,2.2,8.0,2.798,6.9,3.892,4.3,3.4,2.5,6.0,10.8,7.224,3.676,2.9
2022-01-02 14:00:00,36.6,20.1,67.6,29.6,4.9,79.0,13.8,1.7,5.4,3.127,4.6,2.6,3.0,2.1,1.8,4.0,8.7,5.176,2.778,2.5
2022-01-02 15:00:00,32.6,14.2,62.3,31.8,4.3,70.7,11.7,1.7,4.3,2.152,3.6,1.942,2.5,1.9,1.8,3.0,7.9,5.472,2.35,1.8
2022-01-02 16:00:00,39.6,15.1,67.6,36.8,4.1,74.2,12.8,2.1,5.9,2.084,4.9,2.546,2.1,2.1,1.9,3.7,8.2,5.732,2.604,1.9
2022-01-02 17:00:00,45.8,21.4,77.6,55.2,5.1,89.0,16.4,2.7,7.4,2.724,6.6,3.016,2.5,3.0,2.1,4.4,8.4,6.428,3.08,2.3
2022-01-02 18:00:00,48.1,23.6,84.1,62.1,6.8,94.4,19.7,2.9,9.2,3.049,7.0,3.504,2.4,3.1,3.0,7.2,9.9,7.676,2.948,3.5
2022-01-02 19:00:00,53.6,25.4,88.6,65.8,7.3,106.3,22.3,3.4,9.6,3.353,7.8,3.52,3.0,3.7,3.7,6.5,11.0,8.792,3.488,2.6
2022-01-02 20:00:00,64.0,32.4,98.6,59.3,9.2,122.9,24.7,4.1,11.0,3.793,10.3,5.152,3.9,4.8,3.8,8.8,14.9,10.212,4.352,3.5
2022-01-02 21:00:00,70.6,40.3,119.1,78.2,10.9,165.2,36.8,5.4,13.8,5.3,12.4,6.488,4.7,7.3,4.6,11.2,19.2,14.048,6.152,3.8
2022-01-02 22:00:00,116.0,47.5,131.4,79.8,12.0,168.6,37.4,5.8,16.8,7.07,14.6,9.336,5.8,7.9,5.5,11.7,19.6,14.564,7.244,3.8
2022-01-02 23:00:00,63.7,36.4,106.0,95.9,9.3,121.7,27.1,4.3,12.7,6.12,12.5,6.904,5.2,4.9,3.6,8.6,14.7,11.072,4.72,3.8
2022-01-03 00:00:00,39.3,19.8,68.6,61.1,4.9,69.3,15.0,1.9,5.2,3.082,7.4,3.748,2.6,3.7,3.2,4.9,9.5,6.384,2.492,2.4
2022-01-03 01:00:00,24.1,8.7,43.1,23.7,2.9,37.2,7.3,1.0,2.8,1.298,3.3,1.093,1.3,2.5,1.6,3.1,4.4,2.902,1.362,1.3
2022-01-03 02:00:00,17.7,5.6,31.0,16.0,1.7,22.8,3.3,0.2,1.7,0.553,1.6,0.672,0.6,0.5,1.0,1.8,2.9,2.832,0.673,0.6
2022-01-03 03:00:00,13.1,4.5,26.9,12.9,1.2,18.0,1.9,0.2,1.4,0.342,0.9,0.296,0.5,0.3,0.7,0.9,1.2,1.576,0.438,0.2
2022-01-03 04:00:00,13.4,3.6,24.1,11.0,1.2,15.6,1.4,0.1,1.1,0.187,0.7,0.245,0.4,0.1,0.4,1.0,1.2,1.11,0.494,0.3
2022-01-03 05:00:00,16.1,3.9,24.3,13.1,1.3,17.6,2.1,0.6,0.9,0.111,0.9,0.253,0.3,0.4,0.4,1.0,1.2,0.902,0.415,0.3
2022-01-03 06:00:00,23.6,6.3,33.7,22.2,2.0,30.7,4.2,0.8,2.8,0.834,1.7,0.828,0.9,0.8,0.9,1.7,3.4,1.859,1.015,1.4
2022-01-03 07:00:00,38.9,17.2,61.3,42.7,4.6,71.5,12.4,1.7,7.6,2.517,4.7,3.214,1.7,2.0,2.3,4.0,7.7,4.488,1.915,2.1
2022-01-03 08:00:00,55.4,26.0,90.2,62.1,3.4,113.2,20.7,4.0,10.9,3.974,7.2,5.12,2.3,3.6,3.4,6.6,11.4,8.332,4.666,2.8
2022-01-03 09:00:00,62.6,30.6,105.3,71.2,9.6,131.2,26.8,4.9,13.7,4.985,9.4,6.344,2.8,4.7,3.8,8.2,14.0,10.108,4.85,4.0
2022-01-03 10:00:00,62.6,30.9,102.4,66.8,10.0,129.6,25.0,3.5,10.0,5.227,9.0,5.352,3.8,4.3,2.8,8.1,14.2,9.668,4.944,3.4
2022-01-03 11:00:00,60.8,27.9,97.2,60.1,9.4,117.0,22.3,3.0,9.3,4.645,8.5,4.778,3.4,4.6,4.0,7.5,14.4,8.868,4.252,3.3
2022-01-03 12:00:00,55.8,25.4,89.1,53.8,8.1,106.9,19.1,2.7,10.4,3.914,8.6,3.91,3.6,4.1,3.7,7.5,12.3,8.12,3.288,3.6
2022-01-03 13:00:00,45.6,20.8,80.4,45.6,6.5,89.6,16.0,2.3,8.7,2.909,7.1,2.854,2.4,3.3,2.5,5.8,10.5,7.08,3.35,2.8
2022-01-03 14:00:00,36.3,18.2,68.6,30.5,4.6,76.1,14.2,1.5,5.5,2.198,6.5,2.16,2.4,2.5,2.3,4.3,8.7,5.088,3.218,2.1
2022-01-03 15:00:00,35.4,15.4,64.0,33.1,4.2,75.0,14.6,1.3,5.6,1.777,5.1,1.726,2.8,2.0,1.9,3.7,6.8,4.744,2.346,1.4
2022-01-03 16:00:00,39.1,17.1,67.7,35.8,5.1,82.7,15.0,1.8,7.1,2.712,4.9,2.308,2.6,2.2,2.3,5.0,8.1,5.452,3.56,2.1
2022-01-03 17:00:00,48.2,20.5,81.7,57.3,6.9,95.2,19.0,3.2,9.6,3.237,6.7,3.416,2.4,2.8,2.6,6.3,10.8,7.136,3.266,2.4
2022-01-03 18:00:00,54.4,24.8,89.7,69.0,7.6,108.3,23.0,3.6,10.0,3.63,8.2,4.456,3.9,3.6,3.6,7.6,12.4,8.936,3.894,2.9
2022-01-03 19:00:00,62.2,30.7,99.0,76.1,8.4,123.4,26.7,3.3,10.7,3.975,9.8,6.01,3.3,5.0,3.8,9.2,14.3,10.348,4.698,3.4
2022-01-03 20:00:00,69.4,40.9,118.6,73.3,10.3,158.4,34.4,5.9,14.8,6.948,11.7,7.4,5.0,6.4,4.7,11.8,18.0,13.852,6.06,4.8
2022-01-03 21:00:00,72.8,49.3,142.3,85.1,12.0,194.0,44.7,6.4,21.2,8.455,15.5,9.558,6.0,8.9,5.7,14.4,24.0,18.068,7.936,6.2
2022-01-03 22:00:00,71.6,46.3,133.0,78.5,12.3,162.2,34.7,5.4,15.1,6.972,17.1,9.112,6.5,6.8,6.3,11.7,23.4,16.916,8.392,5.2
2022-01-03 23:00:00,53.0,31.6,97.8,85.7,6.7,101.6,23.8,3.2,9.5,4.014,10.7,5.332,4.5,5.5,3.7,8.6,14.7,10.972,4.388,3.6
2022-01-04 00:00:00,35.6,15.7,55.9,64.8,4.1,51.6,12.2,1.4,3.4,2.167,5.8,3.268,2.5,3.3,1.9,4.9,6.7,5.86,1.598,2.3
2022-01-04 01:00:00,22.0,7.7,33.4,23.2,2.1,27.5,5.2,0.5,2.1,0.875,3.2,1.862,0.8,1.1,1.3,3.1,2.8,2.5,0.606,0.8
2022-01-04 02:00:00,17.3,5.2,28.3,14.2,1.3,19.0,2.9,0.2,1.4,0.236,1.7,0.743,0.6,0.1,0.6,1.5,2.0,1.037,0.302,0.5
2022-01-04 03:00:00,16.3,3.9,24.9,11.0,1.2,14.9,1.5,0.4,1.4,0.148,0.9,0.475,0.5,0.2,0.8,1.2,1.0,0.859,0.404,0.4
2022-01-04 04:00:00,16.7,2.6,23.6,11.0,1.1,14.1,1.7,0.3,0.9,0.13,1.6,0.245,0.1,0.2,1.1,1.3,0.9,0.76,0.191,0.3
2022-01-04 05:00:00,20.5,4.5,24.9,14.5,1.5,18.9,2.4,0.6,1.3,0.266,1.4,0.253,0.3,0.3,1.6,1.8,1.5,0.905,0.366,0.5
2022-01-04 06:00:00,35.0,12.1,47.2,38.9,4.3,57.2,11.8,1.8,6.4,1.636,3.4,0.828,1.6,1.7,3.1,3.8,5.3,3.852,1.651,2.2
2022-01-04 07:00:00,53.6,27.5,89.4,66.1,8.4,118.8,24.6,3.7,12.4,4.42,8.3,3.214,3.0,4.7,3.9,7.7,13.7,9.108,5.186,3.6
2022-01-04 08:00:00,53.4,27.5,97.0,66.7,7.3,127.1,23.1,3.6,10.1,5.243,9.2,5.816,3.2,4.0,3.5,6.2,13.6,9.816,5.0,4.0
2022-01-04 09:00:00,53.3,27.8,94.7,66.3,7.3,119.0,19.5,2.3,9.1,3.662,8.1,5.292,3.5,3.8,3.4,4.4,11.7,7.472,3.882,3.6
2022-01-04 10:00:00,53.3,23.1,83.2,52.1,8.2,108.3,18.8,2.2,8.6,3.18,6.0,5.094,2.4,2.5,2.9,4.7,10.7,7.188,2.788,3.2
2022-01-04 11:00:00,51.6,21.8,75.2,49.9,8.8,100.0,16.3,2.6,7.7,3.732,6.7,3.84,2.9,2.6,2.4,4.5,9.4,7.28,2.75,3.9
2022-01-04 12:00:00,45.7,20.1,73.5,47.9,5.0,93.8,14.9,2.2,7.6,2.814,5.8,3.626,3.6,2.4,2.6,4.6,9.2,6.108,1.912,3.8
2022-01-04 13:00:00,36.1,17.2,63.9,38.4,4.4,70.6,12.6,1.6,6.1,1.339,4.1,3.732,2.5,2.4,1.9,4.0,7.2,5.656,2.252,2.9
2022-01-04 14:00:00,30.5,11.4,52.0,24.3,3.8,57.7,8.7,1.1,4.0,1.575,3.3,2.228,1.9,1.1,1.5,2.5,5.4,3.024,2.272,2.0
2022-01-04 15:00:00,32.9,13.3,57.6,25.4,3.9,60.5,10.1,0.8,3.4,0.982,3.0,1.32,1.7,1.1,1.1,2.6,5.3,3.08,2.054,1.9
2022-01-04 16:00:00,35.5,14.4,67.5,30.5,4.2,66.0,10.4,1.2,5.4,1.289,3.2,1.808,1.7,1.2,1.6,2.6,4.7,3.648,1.904,2.3
2022-01-04 17:00:00,41.9,18.5,74.4,46.0,4.7,83.1,13.3,2.0,6.4,2.509,5.4,2.736,1.8,2.3,1.7,3.7,6.6,5.232,2.616,2.8
2022-01-04 18:00:00,49.5,23.1,85.3,63.0,6.2,99.7,17.2,2.6,9.6,3.056,7.1,4.066,3.2,3.3,2.8,6.2,9.7,6.72,3.25,2.9
2022-01-04 19:00:00,57.0,29.1,92.8,74.1,7.2,114.0,23.1,2.7,10.0,3.406,8.6,4.282,3.8,3.8,3.9,8.3,12.1,8.984,4.368,3.2
2022-01-04 20:00:00,67.0,35.6,112.3,67.9,9.5,142.1,28.2,3.8,12.6,5.868,11.6,6.056,4.7,5.4,4.4,10.6,16.4,13.624,5.788,4.4
2022-01-04 21:00:00,73.7,51.8,135.3,84.4,13.4,190.6,41.5,5.9,17.2,7.768,14.2,8.856,4.9,7.7,4.9,14.5,21.9,15.672,6.824,5.8
2022-01-04 22:00:00,147.5,50.0,135.3,79.0,11.9,169.5,39.7,5.4,18.5,7.936,16.0,9.276,6.3,7.9,6.3,12.9,23.3,16.712,7.63,5.3
2022-01-04 23:00:00,56.9,31.3,104.3,90.7,6.8,110.0,26.2,3.4,9.8,4.852,10.9,5.852,3.6,6.0,3.6,8.6,16.6,11.592,4.852,3.4
2022-01-05 00:00:00,34.5,16.7,58.3,66.1,4.0,54.9,11.3,1.2,4.5,2.167,5.9,3.268,2.4,3.4,2.7,4.4,7.5,5.86,1.598,1.8
2022-01-05 01:00:00,23.7,8.0,35.3,19.8,2.5,28.1,4.6,0.6,1.6,0.875,2.1,1.862,1.3,1.3,2.0,1.6,3.5,2.5,0.606,1.2
2022-01-05 02:00:00,19.0,5.2,28.4,13.9,1.8,18.4,2.8,0.1,1.8,0.236,1.7,0.743,0.7,0.2,0.6,1.5,1.2,1.037,0.302,0.3
2022-01-05 03:00:00,17.3,4.9,26.0,12.0,1.0,16.0,1.7,0.3,1.3,0.148,0.9,0.475,0.4,0.2,0.7,0.7,1.1,0.859,0.404,0.3
2022-01-05 04:00:00,16.9,3.2,24.7,11.7,1.5,16.2,1.7,0.2,0.7,0.13,0.5,0.245,0.2,0.2,0.6,0.7,0.6,0.76,0.191,0.1
2022-01-05 05:00:00,19.1,3.9,25.9,15.2,1.7,20.2,2.2,0.6,1.2,0.266,1.1,0.253,0.3,0.3,0.8,1.1,1.5,0.905,0.366,0.3
2022-01-05 06:00:00,33.4,12.0,49.4,38.2,4.2,55.8,10.9,1.7,5.6,1.636,3.7,0.828,1.7,1.9,2.2,3.9,5.8,3.852,1.651,1.8
2022-01-05 07:00:00,51.1,27.2,86.0,61.2,8.3,114.4,22.2,4.2,11.2,4.42,7.8,3.214,2.9,4.2,3.5,7.5,13.5,9.108,5.186,4.0
2022-01-05 08:00:00,53.2,29.3,99.8,69.8,5.8,112.0,23.6,3.5,10.0,4.11,8.9,6.066,2.7,4.7,4.0,6.0,14.1,10.728,5.178,4.2
2022-01-05 09:00:00,52.8,26.8,98.2,62.4,7.2,111.0,18.2,3.3,8.7,3.027,8.0,4.596,3.4,3.1,2.8,5.9,12.2,9.336,3.67,3.1
2022-01-05 10:00:00,53.6,24.5,83.1,48.5,6.0,96.5,16.2,1.4,7.8,3.693,6.7,3.232,3.0,2.9,2.4,5.0,9.5,7.684,2.72,2.9
2022-01-05 11:00:00,50.4,21.8,75.3,46.5,6.3,94.5,14.5,2.1,7.3,2.833,6.5,3.01,2.8,3.3,2.3,4.3,9.1,6.916,2.472,3.5
2022-01-05 12:00:00,48.6,21.5,73.9,46.2,6.0,91.6,14.3,1.8,6.9,2.251,6.1,3.55,2.5,2.6,2.4,4.5,8.5,5.652,2.302,3.1
2022-01-05 13:00:00,42.5,17.7,64.8,38.9,3.7,70.6,10.9,1.6,5.2,1.47,4.6,2.578,1.9,2.1,1.6,3.4,6.1,4.5,1.958,2.4
2022-01-05 14:00:00,36.0,13.0,54.2,23.9,3.3,58.2,8.1,1.1,3.6,1.192,3.5,2.594,2.3,1.2,1.7,2.3,4.6,3.04,1.343,2.0
2022-01-05 15:00:00,36.0,14.0,53.8,30.6,2.8,66.4,7.2,1.2,4.2,1.252,2.4,1.882,1.8,1.4,1.3,2.5,4.9,3.16,1.456,1.9
2022-01-05 16:00:00,41.0,14.5,57.3,34.6,3.5,69.3,9.6,1.4,5.0,1.294,3.4,1.546,1.7,1.5,1.4,2.3,5.0,3.648,1.646,2.2
2022-01-05 17:00:00,46.9,18.8,70.3,46.2,4.6,83.4,12.9,2.0,7.0,2.076,5.4,2.244,2.8,2.0,1.6,4.2,8.1,5.232,2.59,2.5
2022-01-05 18:00:00,48.0,23.5,80.1,60.6,6.0,111.7,18.2,2.6,9.6,2.797,6.9,3.804,3.2,3.4,2.5,6.2,10.2,6.72,3.22,2.6
2022-01-05 19:00:00,55.5,28.0,89.0,72.5,8.8,145.3,22.1,2.6,9.4,3.6,8.5,4.184,3.9,3.8,3.3,8.1,12.6,8.984,3.638,3.5
2022-01-05 20:00:00,66.9,35.5,116.0,60.7,9.3,171.1,29.8,4.0,12.1,5.428,11.6,6.792,4.5,6.4,4.1,11.0,15.4,12.256,5.758,5.5
2022-01-05 21:00:00,69.0,49.5,137.5,84.9,12.8,222.4,41.5,5.8,16.6,8.698,15.2,9.608,6.9,8.5,5.9,14.1,23.3,15.416,8.546,6.0
2022-01-05 22:00:00,70.1,48.7,137.0,80.5,11.2,201.0,40.7,6.0,17.7,8.106,17.9,9.218,5.7,7.6,6.1,13.2,25.3,16.436,7.856,5.9
2022-01-05 23:00:00,57.0,36.9,107.7,92.1,8.8,144.4,25.6,3.7,11.4,5.165,11.8,6.306,4.7,6.9,3.9,8.7,15.9,13.08,4.486,4.4
2022-01-06 00:00:00,32.1,15.4,62.4,67.9,5.1,67.4,13.0,1.8,4.6,2.566,6.4,3.268,2.5,3.2,2.4,5.0,8.2,6.08,2.472,2.1
2022-01-06 01:00:00,20.3,8.2,35.6,26.8,2.3,29.1,5.8,0.5,1.8,1.488,2.4,1.862,0.9,0.7,1.3,2.6,3.1,2.44,1.008,1.5
2022-01-06 02:00:00,15.9,5.0,29.7,14.3,1.5,20.2,2.5,0.4,1.1,0.337,1.4,0.743,0.6,0.4,0.8,1.4,1.7,1.037,0.302,0.8
2022-01-06 03:00:00,12.3,3.5,25.1,11.9,1.7,15.5,1.9,0.3,1.0,0.186,0.7,0.475,0.3,0.4,0.3,0.8,1.0,0.859,0.404,0.6
2022-01-06 04:00:00,11.5,2.3,24.2,11.8,1.9,15.2,1.6,0.2,1.1,0.172,1.3,0.245,0.1,0.2,0.4,0.6,0.9,0.76,0.191,0.5
2022-01-06 05:00:00,17.9,3.5,25.6,13.4,2.1,20.3,2.3,0.6,1.5,0.261,1.2,0.253,0.3,0.3,0.9,1.1,1.7,0.905,0.366,0.9
2022-01-06 06:00:00,32.6,12.7,48.6,38.2,4.5,57.4,11.6,1.6,6.2,1.813,3.5,2.15,1.5,1.3,2.5,3.6,5.3,3.632,1.915,2.2
2022-01-06 07:00:00,54.4,28.0,89.9,66.7,8.3,119.4,23.4,3.5,12.0,4.783,8.3,5.458,3.5,4.3,2.9,7.9,13.5,9.264,5.202,3.9
2022-01-06 08:00:00,57.6,29.8,98.6,67.8,5.8,127.9,22.6,3.2,11.3,4.42,8.4,5.414,4.6,4.6,4.0,6.3,14.2,10.4,4.556,4.4
2022-01-06 09:00:00,54.7,26.6,95.4,61.0,7.2,114.8,18.5,2.6,8.9,2.67,6.8,4.496,5.2,3.5,3.4,5.5,10.7,7.812,3.75,4.0
2022-01-06 10:00:00,50.3,21.9,81.3,56.6,6.0,103.0,18.5,1.5,7.4,2.876,5.7,3.028,4.0,1.7,1.8,5.1,9.5,5.584,2.748,2.7
2022-01-06 11:00:00,48.5,19.6,75.4,51.9,6.3,95.0,15.2,1.7,7.5,2.785,5.5,2.824,3.0,2.5,1.8,4.6,8.2,5.54,3.082,2.9
2022-01-06 12:00:00,45.5,19.1,73.3,47.7,5.7,92.3,15.2,1.6,7.2,2.461,6.3,3.034,2.1,2.6,1.7,4.5,8.3,5.28,2.528,3.5
2022-01-06 13:00:00,36.1,14.8,63.6,39.5,4.2,71.0,11.8,1.4,5.6,1.556,4.9,2.89,2.2,1.7,1.5,3.4,6.7,3.792,2.11,2.7
2022-01-06 14:00:00,27.9,13.0,52.1,28.4,2.8,58.1,8.3,1.2,3.9,1.4,4.4,1.672,5.1,1.5,1.1,2.5,5.5,2.533,1.638,1.8
2022-01-06 15:00:00,30.8,13.5,52.5,30.2,3.1,65.8,8.5,0.8,4.1,1.232,4.1,1.78,3.4,1.2,1.4,2.2,4.0,3.043,1.579,2.0
2022-01-06 16:00:00,35.2,14.0,58.5,30.0,4.1,69.4,9.5,0.9,5.1,1.663,4.3,1.976,2.9,1.6,1.4,2.3,4.1,3.584,2.064,2.5
2022-01-06 17:00:00,43.9,18.1,72.5,44.6,4.7,85.0,13.2,2.4,6.3,1.897,5.1,2.35,2.1,2.2,1.9,3.9,7.1,4.996,2.596,2.7
2022-01-06 18:00:00,51.4,23.8,79.4,61.8,6.3,97.6,17.8,2.6,8.4,2.38,6.9,3.006,3.2,3.4,2.5,6.2,10.2,6.864,2.974,2.6
2022-01-06 19:00:00,59.1,27.9,90.4,70.8,7.6,112.3,22.0,2.6,9.9,3.563,8.5,4.626,3.9,3.8,3.3,8.1,12.6,8.296,3.302,3.7
2022-01-06 20:00:00,68.3,39.1,111.5,65.4,8.5,135.7,27.8,4.0,12.2,5.223,11.6,6.85,4.5,6.4,4.1,11.0,15.4,13.128,6.036,4.2
2022-01-06 21:00:00,70.2,50.5,136.1,86.4,12.6,190.3,40.6,5.8,18.3,7.347,15.2,9.552,6.9,8.5,5.9,14.1,23.3,14.832,7.24,5.5
2022-01-06 22:00:00,69.8,47.1,136.4,82.3,11.5,162.1,36.4,6.0,15.6,8.199,17.9,8.42,5.7,7.6,6.1,13.2,25.3,17.856,7.104,4.9
2022-01-06 23:00:00,56.6,34.5,103.3,91.5,6.8,108.8,25.2,3.7,11.3,4.668,11.8,6.406,4.7,6.9,3.9,8.7,15.9,11.412,5.732,4.2
2022-01-07 00:00:00,32.5,18.5,58.6,68.2,3.8,55.2,12.2,1.8,3.2,3.061,6.4,2.934,2.5,3.2,2.4,5.0,8.2,5.688,2.351,2.3
2022-01-07 01:00:00,19.6,8.5,34.6,21.4,1.9,29.6,5.1,0.5,2.5,1.117,2.4,1.536,0.9,0.7,1.3,2.6,3.1,2.932,0.507,1.0
2022-01-07 02:00:00,14.9,4.4,28.2,15.2,1.7,18.7,2.2,0.4,1.3,0.243,1.4,0.74,0.6,0.3,1.3,1.7,2.1,1.225,0.282,0.8
2022-01-07 03:00:00,12.7,3.8,24.3,11.6,1.3,15.0,1.8,0.3,1.1,0.322,0.7,0.294,0.3,0.2,0.9,0.8,1.0,1.045,0.294,0.2
2022-01-07 04:00:00,11.4,2.8,22.9,11.2,1.0,14.6,1.9,0.2,0.8,0.196,1.3,0.213,0.3,0.2,0.4,0.6,0.9,0.803,0.274,0.1
