time,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20,train or test
2022/1/2 6:00,20.1,4.8,34.2,18,2.9,28.3,4,0.7,2.1,0.544,1.8,1.231,1,0.5,1.4,1.6,2.5,1.572,0.811,1.4,train
2022/1/2 7:00,36.2,15.9,55.2,40.4,4.5,67.2,11,1.7,6.5,1.897,4.1,2.476,1.6,1.7,1.9,3.6,6.8,4.244,2.12,2.2,train
2022/1/2 8:00,52.8,26.9,87.3,62.1,7.6,110.2,21.4,4.1,10.7,3.847,7.9,5.004,2.4,3.8,3.4,7.1,11.7,7.604,4.368,3.6,train
2022/1/2 9:00,62.6,29,102.1,71.6,10.8,133.6,26.9,3.9,12.3,4.939,9.5,5.438,3.4,5,3.9,7.4,13.6,10.32,5.496,5,train
2022/1/2 10:00,61.8,29.1,101.5,68,9.9,129.2,26.5,4,12,4.704,10.5,5.398,4.5,4.5,3.8,8.8,14.9,28.824,5.04,4.8,train
2022/1/2 11:00,59,29.3,98.4,63.3,9.6,120.2,23.7,3.6,10.5,5.21,9.4,4.996,4.5,4.3,3.3,8.5,14.6,,4.392,4.1,train
2022/1/2 12:00,52.8,25.6,89,57.3,7.7,105.5,22,3.6,9.3,4.497,9.7,9.192,3.8,4,3.3,6.9,11.8,,4.656,3.3,train
2022/1/2 13:00,47.4,20.4,79.1,47.4,6.4,94.8,19.1,2.2,8,2.798,6.9,,4.3,3.4,2.5,6,10.8,7.456,3.676,2.9,train
2022/1/2 14:00,36.6,20.1,67.6,29.6,4.9,79,13.8,1.7,5.4,3.127,4.6,,3,2.1,1.8,4,8.7,14.564,2.778,2.5,train
2022/1/2 15:00,32.6,14.2,62.3,31.8,4.3,70.7,11.7,1.7,4.3,2.152,3.6,2.098,2.5,1.9,1.8,3,7.9,,2.35,1.8,train
2022/1/2 16:00,39.6,15.1,67.6,36.8,4.1,74.2,12.8,2.1,5.9,7.645,4.9,2.546,2.1,2.1,1.9,3.7,8.2,,2.604,1.9,train
2022/1/2 17:00,45.8,21.4,77.6,55.2,5.1,89,16.4,2.7,7.4,,6.6,3.016,2.5,3,2.1,4.4,8.4,5.928,3.08,2.3,train
2022/1/2 18:00,48.1,23.6,84.1,62.1,6.8,94.4,19.7,2.9,9.2,,7,11.674,2.4,3.1,3,7.2,9.9,7.676,2.948,3.5,train
2022/1/2 19:00,53.6,25.4,88.6,65.8,7.3,106.3,22.3,3.4,9.6,3.227,7.8,,3,3.7,3.7,6.5,11,8.792,3.488,2.6,train
2022/1/2 20:00,64,32.4,98.6,59.3,9.2,122.9,24.7,4.1,11,18.097,10.3,,3.9,4.8,3.8,8.8,14.9,57.76,4.352,3.5,train
2022/1/2 21:00,70.6,40.3,119.1,78.2,10.9,165.2,36.8,5.4,13.8,,12.4,7.054,4.7,7.3,4.6,11.2,19.2,,6.152,3.8,train
2022/1/2 22:00,116,47.5,131.4,79.8,12,168.6,37.4,5.8,16.8,,14.6,9.336,5.8,7.9,5.5,11.7,19.6,,15.018,3.8,train
2022/1/2 23:00,63.7,36.4,106,95.9,9.3,121.7,27.1,4.3,12.7,6.943,12.5,6.904,5.2,4.9,3.6,8.6,14.7,,,3.8,train
2022/1/3 0:00,39.3,19.8,68.6,61.1,4.9,69.3,15,1.9,5.2,3.082,7.4,3.748,2.6,3.7,3.2,4.9,9.5,,,2.4,train
2022/1/3 1:00,24.1,8.7,43.1,23.7,2.9,37.2,7.3,1,2.8,1.298,3.3,1.093,1.3,2.5,1.6,3.1,4.4,4.792,1.214,1.3,train
2022/1/3 2:00,17.7,5.6,31,16,1.7,22.8,3.3,0.2,1.7,0.553,1.6,0.672,0.6,0.5,1,1.8,2.9,2.832,0.673,0.6,train
2022/1/3 3:00,13.1,4.5,26.9,12.9,1.2,18,1.9,0.2,1.4,0.342,0.9,0.296,0.5,0.3,0.7,0.9,1.2,1.576,0.438,0.2,train
2022/1/3 4:00,13.4,3.6,24.1,11,1.2,15.6,1.4,0.1,1.1,0.187,0.7,0.245,0.4,0.1,0.4,1,1.2,1.11,0.494,0.3,train
2022/1/3 5:00,16.1,3.9,24.3,13.1,1.3,17.6,2.1,0.6,0.9,0.111,0.9,0.253,0.3,0.4,0.4,1,1.2,0.902,0.415,0.3,train
2022/1/3 6:00,23.6,6.3,33.7,22.2,2,30.7,4.2,0.8,2.8,0.834,1.7,0.828,0.9,0.8,0.9,1.7,3.4,1.859,1.015,1.4,train
2022/1/3 7:00,38.9,17.2,61.3,42.7,4.6,71.5,12.4,1.7,7.6,2.517,4.7,3.214,1.7,2,2.3,4,7.7,4.488,1.915,2.1,train
2022/1/3 8:00,55.4,26,90.2,62.1,3.4,113.2,20.7,4,10.9,3.974,7.2,5.12,2.3,3.6,3.4,6.6,11.4,8.332,4.666,2.8,train
2022/1/3 9:00,62.6,30.6,105.3,71.2,9.6,131.2,26.8,4.9,13.7,4.985,9.4,6.344,2.8,4.7,3.8,8.2,14,10.108,4.85,4,train
2022/1/3 10:00,62.6,30.9,102.4,66.8,10,129.6,25,3.5,10,5.227,9,5.352,3.8,4.3,2.8,8.1,14.2,9.668,4.944,3.4,train
2022/1/3 11:00,60.8,27.9,97.2,60.1,9.4,117,22.3,3,9.3,4.645,8.5,4.778,3.4,4.6,4,7.5,14.4,8.868,4.252,3.3,train
2022/1/3 12:00,55.8,25.4,89.1,53.8,8.1,106.9,19.1,2.7,10.4,3.914,8.6,3.91,3.6,4.1,3.7,7.5,12.3,8.12,3.288,3.6,train
2022/1/3 13:00,45.6,20.8,80.4,45.6,6.5,89.6,16,2.3,8.7,2.909,7.1,2.854,2.4,3.3,2.5,5.8,10.5,7.08,3.35,2.8,train
2022/1/3 14:00,36.3,18.2,68.6,30.5,4.6,76.1,14.2,1.5,5.5,2.198,6.5,2.16,2.4,2.5,2.3,4.3,8.7,5.088,3.218,2.1,train
2022/1/3 15:00,35.4,15.4,64,33.1,4.2,75,14.6,1.3,5.6,1.777,5.1,1.726,2.8,2,1.9,3.7,6.8,4.744,2.346,1.4,train
2022/1/3 16:00,39.1,17.1,67.7,35.8,5.1,82.7,15,1.8,7.1,2.712,4.9,2.308,2.6,2.2,2.3,5,8.1,5.452,3.56,2.1,train
2022/1/3 17:00,48.2,20.5,81.7,57.3,6.9,95.2,19,3.2,9.6,3.237,6.7,3.416,2.4,2.8,2.6,6.3,10.8,7.136,3.266,2.4,train
2022/1/3 18:00,54.4,24.8,89.7,69,7.6,108.3,23,3.6,10,3.63,8.2,4.456,3.9,3.6,3.6,7.6,12.4,8.936,3.894,2.9,train
2022/1/3 19:00,62.2,30.7,99,76.1,8.4,123.4,26.7,3.3,10.7,3.975,9.8,6.01,3.3,5,3.8,9.2,14.3,10.348,4.698,3.4,train
2022/1/3 20:00,69.4,40.9,118.6,73.3,10.3,158.4,34.4,5.9,14.8,6.948,11.7,7.4,5,6.4,4.7,11.8,18,13.852,6.06,4.8,train
2022/1/3 21:00,72.8,49.3,142.3,85.1,12,194,44.7,6.4,21.2,8.455,15.5,9.558,6,8.9,5.7,14.4,24,18.068,7.936,6.2,train
2022/1/3 22:00,71.6,46.3,133,78.5,12.3,162.2,34.7,5.4,15.1,6.972,17.1,9.112,6.5,6.8,6.3,25.2,23.4,16.916,8.392,5.2,train
2022/1/3 23:00,53,31.6,97.8,85.7,6.7,101.6,23.8,3.2,9.5,4.014,10.7,5.332,4.5,5.5,3.7,,14.7,10.972,4.388,3.6,train
2022/1/4 0:00,35.6,15.7,55.9,64.8,4.1,51.6,12.2,1.4,3.4,2.167,5.8,3.268,2.5,3.3,1.9,,6.7,5.86,1.598,2.3,train
2022/1/4 1:00,22,7.7,33.4,23.2,2.1,27.5,5.2,0.5,2.1,0.875,3.2,1.862,0.8,1.1,1.3,3,2.8,2.5,0.606,0.8,train
2022/1/4 2:00,17.3,5.2,28.3,14.2,1.3,19,2.9,0.2,1.4,0.236,1.7,0.743,0.6,0.1,0.6,1.5,2,1.037,0.302,0.5,train
2022/1/4 3:00,16.3,3.9,24.9,11,1.2,14.9,1.5,0.4,1.4,0.148,0.9,0.475,0.5,0.2,0.8,1.2,1,0.859,0.404,0.4,train
2022/1/4 4:00,16.7,2.6,23.6,11,1.1,14.1,1.7,0.3,0.9,0.13,1.6,2.98,0.1,0.2,1.1,1.3,0.9,0.76,0.191,0.3,train
2022/1/4 5:00,20.5,4.5,24.9,14.5,1.5,18.9,2.4,0.6,1.3,0.266,1.4,,0.3,0.3,1.6,1.8,1.5,0.905,0.366,0.5,train
2022/1/4 6:00,35,12.1,47.2,38.9,4.3,57.2,11.8,1.8,6.4,1.636,3.4,,1.6,1.7,3.1,3.8,5.3,3.852,1.651,2.2,train
2022/1/4 7:00,53.6,27.5,89.4,66.1,8.4,118.8,24.6,3.7,12.4,4.42,8.3,5.15,3,4.7,3.9,7.7,13.7,9.108,5.186,3.6,train
2022/1/4 8:00,53.4,27.5,97,66.7,7.3,127.1,23.1,3.6,10.1,5.243,9.2,5.816,3.2,4,3.5,6.2,13.6,9.816,5,4,train
2022/1/4 9:00,53.3,27.8,94.7,66.3,7.3,119,19.5,2.3,9.1,3.662,8.1,5.292,3.5,3.8,3.4,4.4,11.7,7.472,3.882,3.6,train
2022/1/4 10:00,53.3,23.1,83.2,52.1,8.2,108.3,18.8,2.2,8.6,3.18,6,5.094,2.4,2.5,2.9,4.7,10.7,7.188,2.788,3.2,train
2022/1/4 11:00,51.6,21.8,75.2,49.9,8.8,100,16.3,2.6,7.7,3.732,6.7,3.84,2.9,2.6,2.4,4.5,9.4,7.28,2.75,3.9,train
2022/1/4 12:00,45.7,20.1,73.5,47.9,5,93.8,14.9,2.2,7.6,2.814,5.8,3.626,3.6,2.4,2.6,4.6,9.2,6.108,1.912,3.8,train
2022/1/4 13:00,36.1,17.2,63.9,38.4,4.4,70.6,12.6,1.6,6.1,1.339,4.1,3.732,2.5,2.4,1.9,4,7.2,5.656,2.252,2.9,train
2022/1/4 14:00,30.5,11.4,52,24.3,3.8,57.7,8.7,1.1,4,1.575,3.3,2.228,1.9,1.1,1.5,2.5,5.4,3.024,2.272,2,train
2022/1/4 15:00,32.9,13.3,57.6,25.4,3.9,60.5,10.1,0.8,3.4,0.982,3,1.32,1.7,1.1,1.1,2.6,5.3,3.08,2.054,1.9,train
2022/1/4 16:00,35.5,14.4,67.5,30.5,4.2,66,10.4,1.2,5.4,1.289,3.2,1.808,1.7,1.2,1.6,2.6,4.7,3.648,1.904,2.3,train
2022/1/4 17:00,41.9,18.5,74.4,46,4.7,83.1,13.3,2,6.4,2.509,5.4,2.736,1.8,2.3,1.7,3.7,6.6,5.232,2.616,2.8,train
2022/1/4 18:00,49.5,23.1,85.3,63,6.2,99.7,17.2,2.6,9.6,3.056,7.1,4.066,3.2,3.3,2.8,6.2,9.7,6.72,3.25,2.9,train
2022/1/4 19:00,57,29.1,92.8,74.1,7.2,114,23.1,2.7,10,3.406,8.6,4.282,3.8,3.8,3.9,8.3,12.1,8.984,4.368,3.2,train
2022/1/4 20:00,67,35.6,112.3,67.9,9.5,142.1,28.2,3.8,12.6,5.868,11.6,6.056,4.7,5.4,4.4,10.6,16.4,13.624,5.788,4.4,train
2022/1/4 21:00,73.7,51.8,135.3,84.4,13.4,190.6,41.5,5.9,17.2,7.768,14.2,8.856,4.9,7.7,4.9,14.5,21.9,15.672,6.824,5.8,train
2022/1/4 22:00,147.5,50,135.3,79,11.9,169.5,39.7,5.4,18.5,7.936,16,9.276,6.3,7.9,6.3,12.9,23.3,16.712,7.63,5.3,train
2022/1/4 23:00,56.9,31.3,104.3,90.7,6.8,110,26.2,3.4,9.8,4.852,10.9,5.852,3.6,6,3.6,8.6,16.6,11.592,4.852,3.4,train
2022/1/5 0:00,34.5,16.7,58.3,66.1,4,54.9,11.3,1.2,4.5,6.404,5.9,7.796,2.4,3.4,2.7,4.4,7.5,15.595,6.734,1.8,train
2022/1/5 1:00,23.7,8,35.3,19.8,2.5,28.1,4.6,0.6,1.6,,2.1,,1.3,1.3,2,1.6,3.5,,,1.2,train
2022/1/5 2:00,19,5.2,28.4,13.9,1.8,18.4,2.8,0.1,1.8,,1.7,,0.7,0.2,0.6,1.5,1.2,,,0.3,train
2022/1/5 3:00,17.3,4.9,26,12,1,16,1.7,0.3,1.3,,0.9,,0.4,0.2,0.7,0.7,1.1,,,0.3,train
2022/1/5 4:00,16.9,3.2,24.7,11.7,1.5,16.2,1.7,0.2,0.7,,0.5,,0.2,0.2,0.6,0.7,0.6,,,0.1,train
2022/1/5 5:00,19.1,3.9,25.9,15.2,1.7,20.2,2.2,0.6,1.2,,1.1,,0.3,0.3,0.8,1.1,1.5,,,0.3,train
2022/1/5 6:00,33.4,12,49.4,38.2,4.2,55.8,10.9,1.7,5.6,,3.7,,1.7,1.9,2.2,3.9,5.8,,,1.8,train
2022/1/5 7:00,51.1,27.2,86,61.2,8.3,114.4,22.2,4.2,11.2,3.911,7.8,6.034,2.9,4.2,3.5,7.5,13.5,8.648,4.268,4,train
2022/1/5 8:00,53.2,29.3,99.8,69.8,5.8,112,23.6,3.5,10,4.11,8.9,6.066,2.7,4.7,4,6,14.1,10.728,5.178,4.2,train
2022/1/5 9:00,52.8,26.8,98.2,62.4,7.2,111,18.2,3.3,8.7,3.027,8,4.596,3.4,3.1,2.8,5.9,12.2,9.336,3.67,3.1,train
2022/1/5 10:00,53.6,24.5,83.1,48.5,6,96.5,16.2,1.4,7.8,3.693,6.7,3.232,3,2.9,2.4,5,9.5,7.684,2.72,2.9,train
2022/1/5 11:00,50.4,21.8,75.3,46.5,6.3,94.5,14.5,2.1,7.3,2.833,6.5,3.01,2.8,3.3,2.3,4.3,9.1,6.916,2.472,3.5,train
2022/1/5 12:00,48.6,21.5,73.9,46.2,6,91.6,14.3,1.8,6.9,2.251,6.1,3.55,2.5,2.6,2.4,4.5,8.5,5.652,2.302,3.1,train
2022/1/5 13:00,42.5,17.7,64.8,38.9,3.7,70.6,10.9,1.6,5.2,1.47,4.6,2.578,1.9,2.1,1.6,3.4,6.1,4.5,1.958,2.4,train
2022/1/5 14:00,36,13,54.2,23.9,3.3,58.2,8.1,1.1,3.6,1.192,3.5,2.594,2.3,1.2,1.7,2.3,4.6,3.04,1.343,2,train
2022/1/5 15:00,36,14,53.8,30.6,2.8,66.4,7.2,1.2,4.2,1.252,2.4,1.882,1.8,1.4,1.3,2.5,4.9,3.16,1.456,1.9,train
2022/1/5 16:00,41,14.5,57.3,34.6,3.5,69.3,9.6,1.4,5,1.294,3.4,1.546,1.7,1.5,1.4,2.3,5,14.416,1.646,2.2,train
2022/1/5 17:00,46.9,18.8,70.3,46.2,4.6,83.4,12.9,2,7,2.076,5.4,2.244,2.8,2,1.6,4.2,8.1,,2.59,2.5,train
2022/1/5 18:00,48,23.5,80.1,60.6,6,111.7,18.2,2.6,9.6,2.797,6.9,3.804,3.2,3.4,2.5,6.2,10.2,,3.22,2.6,train
2022/1/5 19:00,55.5,28,89,72.5,8.8,145.3,22.1,2.6,9.4,3.6,8.5,4.184,3.9,3.8,3.3,8.1,12.6,9.368,3.638,3.5,train
2022/1/5 20:00,66.9,35.5,116,60.7,9.3,171.1,29.8,4,12.1,5.428,11.6,6.792,4.5,6.4,4.1,11,15.4,12.256,5.758,5.5,train
2022/1/5 21:00,69,49.5,137.5,84.9,12.8,222.4,41.5,5.8,16.6,8.698,15.2,9.608,6.9,8.5,5.9,14.1,23.3,15.416,8.546,6,train
2022/1/5 22:00,70.1,48.7,137,80.5,11.2,201,40.7,6,17.7,8.106,17.9,9.218,5.7,7.6,6.1,13.2,25.3,16.436,7.856,5.9,train
2022/1/5 23:00,57,36.9,107.7,92.1,8.8,144.4,25.6,3.7,11.4,5.165,11.8,6.306,4.7,6.9,3.9,8.7,15.9,13.08,4.486,4.4,train
2022/1/6 0:00,32.1,15.4,62.4,67.9,5.1,67.4,13,1.8,4.6,2.566,6.4,5.421,2.5,3.2,2.4,5,8.2,6.08,2.472,2.1,train
2022/1/6 1:00,20.3,8.2,35.6,26.8,2.3,29.1,5.8,0.5,1.8,1.488,2.4,,0.9,0.7,1.3,2.6,3.1,2.44,1.008,1.5,train
2022/1/6 2:00,15.9,5,29.7,14.3,1.5,20.2,2.5,0.4,1.1,0.337,1.4,,0.6,0.4,0.8,1.4,1.7,2.743,0.722,0.8,train
2022/1/6 3:00,12.3,3.5,25.1,11.9,1.7,15.5,1.9,0.3,1,0.186,0.7,,0.3,0.4,0.3,0.8,1,,,0.6,train
2022/1/6 4:00,11.5,2.3,24.2,11.8,1.9,15.2,1.6,0.2,1.1,0.172,1.3,,0.1,0.2,0.4,0.6,0.9,,,0.5,train
2022/1/6 5:00,17.9,3.5,25.6,13.4,2.1,20.3,2.3,0.6,1.5,0.261,1.2,0.514,0.3,0.3,0.9,1.1,1.7,1.07,0.497,0.9,train
2022/1/6 6:00,32.6,12.7,48.6,38.2,4.5,57.4,11.6,1.6,6.2,1.813,3.5,2.15,1.5,1.3,2.5,3.6,5.3,3.632,1.915,2.2,train
2022/1/6 7:00,54.4,28,89.9,66.7,8.3,119.4,23.4,3.5,12,4.783,8.3,5.458,3.5,4.3,2.9,7.9,13.5,9.264,5.202,3.9,train
2022/1/6 8:00,57.6,29.8,98.6,67.8,7.1,127.9,22.6,3.2,11.3,4.42,8.4,5.414,4.6,4.6,4,6.3,14.2,10.4,4.556,4.4,train
2022/1/6 9:00,54.7,26.6,95.4,61,0,114.8,18.5,2.6,8.9,2.67,6.8,4.496,5.2,3.5,3.4,5.5,10.7,7.812,3.75,4,train
2022/1/6 10:00,50.3,21.9,81.3,56.6,0,103,18.5,1.5,7.4,2.876,5.7,3.028,4,1.7,1.8,5.1,9.5,5.584,2.748,2.7,train
2022/1/6 11:00,48.5,19.6,75.4,51.9,1.2,95,15.2,1.7,7.5,2.785,5.5,2.824,3,2.5,1.8,4.6,8.2,5.54,3.082,2.9,train
2022/1/6 12:00,45.5,19.1,73.3,47.7,5.7,92.3,15.2,1.6,7.2,2.461,6.3,3.034,2.1,2.6,1.7,4.5,8.3,5.28,2.528,3.5,train
2022/1/6 13:00,36.1,14.8,63.6,39.5,4.2,71,11.8,1.4,5.6,1.556,4.9,2.89,2.2,1.7,1.5,3.4,6.7,3.792,2.11,2.7,train
2022/1/6 14:00,27.9,13,52.1,28.4,2.8,58.1,8.3,1.2,3.9,1.4,4.4,1.672,5.1,1.5,1.1,2.5,5.5,2.533,1.638,1.8,train
2022/1/6 15:00,30.8,13.5,52.5,30.2,3.1,65.8,8.5,0.8,4.1,1.232,4.1,1.78,3.4,1.2,1.4,2.2,4,3.043,1.579,2,train
2022/1/6 16:00,35.2,14,58.5,30,4.1,69.4,9.5,0.9,5.1,1.663,4.3,1.976,2.9,1.6,1.4,2.3,4.1,3.584,2.064,2.5,train
2022/1/6 17:00,43.9,18.1,72.5,44.6,4.7,85,13.2,2.4,6.3,1.897,5.1,2.35,2.1,2.2,1.9,3.9,7.1,4.996,2.596,2.7,train
2022/1/6 18:00,51.4,23.8,79.4,61.8,6.3,97.6,17.8,26.7,8.4,2.38,74.6,3.006,29.6,39.2,33.1,65.1,106,6.864,2.974,2.6,train
2022/1/6 19:00,59.1,27.9,90.4,70.8,7.6,112.3,22,,9.9,3.563,,4.626,,,,,,8.296,3.302,3.7,train
2022/1/6 20:00,68.3,39.1,111.5,65.4,8.5,135.7,27.8,,12.2,5.223,,6.85,,,,,,13.128,6.036,4.2,train
2022/1/6 21:00,70.2,50.5,136.1,86.4,12.6,190.3,40.6,,18.3,7.347,,9.552,,,,,,14.832,7.24,5.5,train
2022/1/6 22:00,69.8,47.1,136.4,82.3,11.5,162.1,36.4,,15.6,8.199,,8.42,,,,,,17.856,7.104,4.9,train
2022/1/6 23:00,56.6,34.5,103.3,91.5,6.8,108.8,25.2,,11.3,4.668,,6.406,,,,,,11.412,5.732,4.2,train
2022/1/7 0:00,32.5,18.5,58.6,68.2,3.8,55.2,12.2,,3.2,3.061,,2.934,,,,,,5.688,2.351,2.3,train
2022/1/7 1:00,19.6,8.5,34.6,21.4,1.9,29.6,5.1,0.6,2.5,1.117,3.2,1.536,1.3,1,1.8,2.6,4.1,2.932,0.507,1,train
2022/1/7 2:00,14.9,4.4,28.2,15.2,1.7,18.7,2.2,18.8,1.3,0.243,61.5,0.74,0.6,0.3,1.3,1.7,2.1,1.225,0.282,0.8,train
2022/1/7 3:00,12.7,3.8,24.3,11.6,1.3,15,1.8,-18.1,1.1,0.322,-59,0.294,0.3,0.2,0.9,0.8,1,1.045,0.294,0.2,train
2022/1/7 4:00,11.4,2.8,22.9,11.2,1,14.6,1.9,0.3,0.8,0.196,64.2,0.213,0.3,25.8,29.8,50.1,0.9,0.803,0.274,0.1,train
2022/1/7 5:00,16.3,3.5,25.2,15.3,1.5,19.5,2.5,0.6,1.3,0.212,-61.5,0.483,0.4,-25.4,-27.5,-48.4,100.6,1.148,0.475,0.3,train
2022/1/7 6:00,32.4,13.2,48.2,38.7,4.3,58,11.4,1.6,6.2,1.957,4.3,3.066,1.9,1.6,2.7,3.6,-93.3,3.448,1.834,2.5,train
2022/1/7 7:00,51.4,27.8,84.7,63.3,8.5,115.9,22.5,3.8,11.2,4.168,8.4,4.594,3.4,4.4,4.4,7.6,14.2,8.556,4.8,4.2,train
2022/1/7 8:00,54.5,27.9,99.2,70,8,129.1,21.9,0,9.6,4.911,7.8,5.54,4,3.9,3.9,6.5,13.6,10.16,4.844,3.9,train
2022/1/7 9:00,73.1,27,96,60.1,6.4,121.9,17.5,0,8.8,3.296,6.8,4.254,3.5,3.1,3.4,5.8,11.6,7.972,3.208,3.4,train
2022/1/7 10:00,59.2,22.9,78,49.4,5.9,101.4,15,4.3,7.8,2.849,6.4,9.358,1.8,1.9,2.7,4.5,10.1,7.304,8.094,2.6,train
2022/1/7 11:00,47.7,21.6,73.1,49.1,6.4,89.1,14.4,2.7,7.2,2.902,7.3,,-19.9,2.6,2.5,5.4,8.8,11.084,,2.8,train
2022/1/7 12:00,46.9,19.5,71.2,46,5.3,89.8,14.3,34.7,5.7,2.159,95.5,,63.2,46.3,35.1,81.6,137.7,6.172,,2.9,train
2022/1/7 13:00,37.5,18.3,59.8,39.5,4.4,70.2,11.6,,5.2,1.41,,2.104,,,,,,4.1,2.458,3,train
